osm_id,name,centroid_base,centroid_lat,centroid_lon,main_entrance_lat,main_entrance_lon,category,cohort,walking_distance_centroid_to_main_entrance_m,walking_distance_centroid_to_nearest_driving_road_m,walking_distance_centroid_to_nearest_transit_stop_m,walking_distance_main_entrance_to_nearest_driving_road_m,walking_distance_main_entrance_to_nearest_transit_stop_m,is_same_nearest_driving_road,is_same_transit_stop,euclidean_distance_centroid_to_main_entrance_m,absolute_difference_nearest_road_distance_m,absolute_difference_nearest_transit_stop_distance_m
way/19912449,McGill Principal,area,45.5068728,-73.5787981,45.505207,-73.5775183,university,quebec,297,108,146,171,331,FALSE,FALSE,210,63,185
way/213208567,CNRC Saguenay,building,48.4187275,-71.0538621,48.4184188,-71.0534558,university_small,quebec,777,203,508,27,426,FALSE,TRUE,46,176,82
way/213216039,Parc national d'Oka,area,45.4787636,-74.0321673,45.4650503,-74.0415919,national_park,quebec,2728,1055,2993,1704,2387,FALSE,TRUE,1693,649,606
way/22869926,Fairview Pointe-Claire,building,45.4639046,-73.8314521,45.4627625,-73.8322879,shopping_center,quebec,205,281,239,226,411,FALSE,TRUE,143,55,172
way/23322889,Place Rosemère,building,45.6306338,-73.819278,45.6316581,-73.8177994,shopping_center,quebec,224,359,381,183,208,FALSE,FALSE,162,176,173
way/25540794,Mail Champlain,building,45.4717758,-73.4715541,45.4731528,-73.4715498,shopping_center,quebec,167,284,314,160,204,FALSE,TRUE,153,124,110
way/262149253,CHU Hôpital de l'Enfant-Jésus,area,46.838729,-71.2279863,46.8371749,-71.2253977,hospital,quebec,466,103,494,67,72,FALSE,TRUE,262,36,422
way/26417603,HEC Montréal – Édifice Côte-Sainte-Catherine,building,45.5035031,-73.6212074,45.5039429,-73.6221755,university_small,quebec,151,114,192,40,46,FALSE,TRUE,90,74,146
way/27336566,CNRC Decelles,building,45.5020476,-73.6134066,45.502247,-73.6130737,university_small,quebec,55,22,820,12,840,FALSE,TRUE,34,10,20
way/27339418,Place Versailles,building,45.5919012,-73.5419241,45.5906451,-73.5391498,shopping_center,quebec,480,103,365,41,46,FALSE,FALSE,257,62,319
way/27442017,Place Sainte-Foy,building,46.7733896,-71.2790396,46.7729646,-71.2780128,shopping_center,quebec,140,113,221,27,101,FALSE,TRUE,91,86,120
way/27442020,Laurier Québec,building,46.7705998,-71.2850765,46.7715918,-71.2831811,shopping_center,quebec,182,199,310,14,198,TRUE,FALSE,182,185,112
way/274886879,CHUL,area,46.768486,-71.2823254,46.7694142,-71.2833395,hospital,quebec,608,257,558,29,48,FALSE,TRUE,129,228,510
way/27503152,Les Galeries de la Capitale,building,46.8301836,-71.2995255,46.8303195,-71.2975575,shopping_center,quebec,194,394,250,204,68,TRUE,TRUE,150,190,182
way/277374275,UdeM Mont Mégantic ASTROLab,building,45.4232935,-71.1259246,45.4232603,-71.1258822,university_small,quebec,5,215,,207,,TRUE,,5,8,
way/333086912,UdeM Saint-Hyacinthe,area,45.6205455,-72.9661167,45.6194709,-72.9646153,university,quebec,305,276,408,64,128,FALSE,TRUE,167,212,280
way/349671263,Parc national de la Yamaska,area,45.4254497,-72.5905304,45.4270848,-72.6178444,national_park,quebec,3875,1367,,1319,,FALSE,,2139,48,
way/367379669,CRNC Royalmount,area,45.4868898,-73.673262,45.4876268,-73.6728555,university,quebec,629,152,268,135,157,FALSE,FALSE,88,17,111
way/373555499,UdeM Laval,area,45.5588566,-73.7208904,45.5587669,-73.72114,university_small,quebec,22,52,77,30,54,TRUE,TRUE,22,22,23
way/375042733,UQAM Campus de Lanaudière (Terrebonne),building,45.7230285,-73.7044567,45.722958,-73.7042729,university_small,quebec,22,64,158,43,136,TRUE,TRUE,16,21,22
way/376963963,CNRC Bourcherville,area,45.5749819,-73.4521514,45.5746383,-73.4495273,university,quebec,304,465,474,185,192,TRUE,TRUE,208,280,282
way/39040407,Promenades Saint-Bruno,building,45.50537,-73.3780553,45.5063994,-73.3778508,shopping_center,quebec,170,349,329,234,276,FALSE,FALSE,116,115,53
way/45088176,YHU Saint-Hubert,area,45.5215692,-73.4132798,45.5205254,-73.3986837,airport,quebec,4447,750,787,231,103,FALSE,FALSE,1143,519,684
